Key,en,hi,ar,es,fr
Dashboard,Dashboard,डैशबोर्ड,لوحة القيادة,Panel,Tableau de bord
Language,Language,भाषा,لغة,Idioma,Langue
Information,Information,जानकारी,معلومة,Información,Information
Language Information,Language Information,भाषा संबंधी जानकारी,معلومات اللغة,Información de idioma,Informations linguistiques
Language Manager,Language Manager,भाषा प्रबंधक,مدير اللغة,Administrador de idiomas,Gestionnaire de langues
Language created successfully!,Language created successfully!,भाषा सफलतापूर्वक बनाई गई!,تم إنشاء اللغة بنجاح!,¡Idioma creado exitosamente!,Langue créée avec succès !
Something went wrong! Please try again,Something went wrong! Please try again,कुछ गलत हो गया! कृपया पुन: प्रयास करें,حدث خطأ ما! يرجى المحاولة مرة أخرى,¡Algo salió mal! Por favor inténtalo de nuevo,Quelque chose s'est mal passé ! Veuillez réessayer
Verification code resend successfully!,Verification code resend successfully!,सत्यापन कोड सफलतापूर्वक पुनः भेजा गया!,تم إعادة إرسال رمز التحقق بنجاح!,¡El código de verificación se reenvía exitosamente!,Le code de vérification a été renvoyé avec succès !
token,token,टोकन,رمز مميز,simbólico,jeton
Code,Code,कोड,شفرة,Código,Code
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,आपका खाता अस्थायी रूप से बंद कर दिया गया है. कृपया सिस्टम एडमिन से संपर्क करें,حسابك مؤقت. يرجى الاتصال بمسؤول النظام,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,Votre compte est temporairement bloqué. Veuillez contacter l'administrateur système
Verification code sended to your email address,Verification code sended to your email address,सत्यापन कोड आपके ईमेल पते पर भेजा गया,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Código de verificación enviado a su dirección de correo electrónico,Code de vérification envoyé à votre adresse e-mail
Session expired. Please try again,Session expired. Please try again,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,La sesión expiró. Por favor inténtalo de nuevo,Session expirée. Veuillez réessayer
Verification Otp is Invalid,Verification Otp is Invalid,सत्यापन ओटीपी अमान्य है,التحقق من Otp غير صالح,La verificación OTP no es válida,La vérification Otp est invalide
OTP successfully verified!,OTP successfully verified!,ओटीपी सफलतापूर्वक सत्यापित!,تم التحقق من كلمة مرور OTP بنجاح!,¡OTP verificada exitosamente!,OTP vérifié avec succès !
Request token is invalid,Request token is invalid,अनुरोध टोकन अमान्य है,رمز الطلب غير صالح,El token de solicitud no es válido,Le jeton de demande n'est pas valide
OTP resend success,OTP resend success,ओटीपी पुनः भेजने में सफलता,تم إعادة إرسال OTP بنجاح,Reenvío OTP exitoso,OTP renvoie avec succès
Password reset success,Password reset success,पासवर्ड रीसेट सफल,نجاح إعادة تعيين كلمة المرور,Restablecimiento de contraseña exitoso,Réinitialisation réussie du mot de passe
User Successfully Logged In,User Successfully Logged In,उपयोगकर्ता सफलतापूर्वक लॉग इन हुआ,تم تسجيل دخول المستخدم بنجاح,El usuario inició sesión correctamente,Utilisateur connecté avec succès
Username,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario,Nom d'utilisateur
User already exists!,User already exists!,उपयोगकर्ता पहले से मौजूद है!,المستخدم موجود بالفعل!,¡El usuario ya existe!,L'utilisateur existe déjà !
